tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,tweet_favorite_count,tweet_retweet_count,dog_breed,Posted Image's URL,dog_stage
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,13.0,10,Phineas,39467,8853,,https://t.co/MgUWQ76dJU,
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",13.0,10,Tilly,33819,6514,Chihuahua,https://t.co/0Xxu71qeIV,
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,12.0,10,Archie,25461,4328,Chihuahua,https://t.co/wUnZnhtVJB,
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,13.0,10,Darla,42908,8964,Labrador retriever,https://t.co/tD36da7qLQ,
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",12.0,10,Franklin,41048,9774,basset,https://t.co/AtUZn91f7f,
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,13.0,10,,20562,3261,Chesapeake Bay retriever,https://t.co/kQ04fDDRmh,
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",13.0,10,Jax,12041,2158,Appenzeller,https://t.co/Zr4hWfAs1H,
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,13.0,10,,56848,16716,Pomeranian,https://t.co/v0nONBcwxq,
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,13.0,10,Zoey,28226,4429,Irish terrier,https://t.co/9TwLuAGH0b,
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,14.0,10,Cassie,32467,7711,Pembroke,https://t.co/t1bfwz5S2A,doggo
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,13.0,10,Koda,31166,7624,Samoyed,https://t.co/dVPW0B0Mme,
889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,13.0,10,Bruno,28268,5156,French bulldog,https://t.co/u1XPQMl29g,
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,13.0,10,,38818,8538,Pembroke,https://t.co/BxvuXk0UCm,puppo
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,12.0,10,Ted,27672,4735,French bulldog,https://t.co/f8dEDcrKSR,
889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,13.0,10,Stuart,15359,2321,golden retriever,https://t.co/y70o6h3isq,puppo
889278841981685760,2017-07-24 00:19:32,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,13.0,10,Oliver,25652,5637,whippet,https://t.co/WpHvrQedPb,
888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,12.0,10,Jim,29611,4709,golden retriever,https://t.co/chxruIOUJN,
888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,13.0,10,Zeke,26080,4559,golden retriever,https://t.co/HTQ77yNQ5K,
888554962724278272,2017-07-22 00:23:06,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,13.0,10,Ralphus,20290,3732,Siberian husky,https://t.co/YnYAFCTTiK,
888078434458587136,2017-07-20 16:49:33,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,12.0,10,Gerald,22201,3653,French bulldog,https://t.co/DK7iDPfuRX,
887705289381826560,2017-07-19 16:06:48,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,13.0,10,Jeffrey,30779,5609,basset,https://t.co/PhrUk20Q64,
887517139158093824,2017-07-19 03:39:09,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) ,14.0,10,,46959,12082,,https://t.co/20VrLAA8ba,
887473957103951883,2017-07-19 00:47:34,Twitter for iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,13.0,10,Canela,69871,18781,Pembroke,https://t.co/cLyzpcUcMX,
887343217045368832,2017-07-18 16:08:03,Twitter for iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) ,13.0,10,,34222,10737,Mexican hairless,https://t.co/WZqNqygEyV,
887101392804085760,2017-07-18 00:07:08,Twitter for iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof ,12.0,10,,31061,6167,Samoyed,https://t.co/4Ad1jzJSdp,
886983233522544640,2017-07-17 16:17:36,Twitter for iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,13.0,10,Maya,35859,8084,Chihuahua,https://t.co/I6oNy0CgiT,
886736880519319552,2017-07-16 23:58:41,Twitter for iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

",13.0,10,Mingus,12306,3443,kuvasz,https://t.co/bVi0Yr4Cff,
886680336477933568,2017-07-16 20:14:00,Twitter for iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal ,13.0,10,Derek,22798,4610,,https://t.co/BCoWue0abA,
886366144734445568,2017-07-15 23:25:31,Twitter for iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe ,12.0,10,Roscoe,21524,3316,French bulldog,https://t.co/RGE08MIJox,pupper
886258384151887873,2017-07-15 16:17:19,Twitter for iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles ,13.0,10,Waffles,28469,6523,pug,https://t.co/xZDA9Qsq1O,
885984800019947520,2017-07-14 22:10:11,Twitter for iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution ,12.0,10,Jimbo,33382,7097,Blenheim spaniel,https://t.co/BuveP0uMF1,
885528943205470208,2017-07-13 15:58:47,Twitter for iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly ,13.0,10,Maisey,36689,6683,pug,https://t.co/tp1kQ8i9JF,
885167619883638784,2017-07-12 16:03:00,Twitter for iPhone,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 ,13.0,10,,22367,4556,malamute,https://t.co/44ItaMubBf,
884925521741709313,2017-07-12 00:01:00,Twitter for iPhone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl ",12.0,10,Earl,68152,16439,Italian greyhound,https://t.co/MYJvdlNRVa,
884876753390489601,2017-07-11 20:47:12,Twitter for iPhone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola ,13.0,10,Lola,28514,6096,chow,https://t.co/74TKAUsLkO,
884562892145688576,2017-07-11 00:00:02,Twitter for iPhone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin ,13.0,10,Kevin,24765,5100,pug,https://t.co/1r4MFCbCX5,
884441805382717440,2017-07-10 15:58:53,Twitter for iPhone,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) ",14.0,10,,27478,5856,Pembroke,https://t.co/vvBOcC2VdC,
884162670584377345,2017-07-09 21:29:42,Twitter for iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo ,12.0,10,Yogi,20771,3128,German shepherd,https://t.co/YSI00BzTBZ,doggo
883838122936631299,2017-07-09 00:00:04,Twitter for iPhone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy ,12.0,10,Noah,22349,3586,Doberman,https://t.co/V85xujjDDY,
883482846933004288,2017-07-08 00:28:19,Twitter for iPhone,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 ",13.5,10,Bella,46860,10407,golden retriever,https://t.co/qjrljjt948,
883360690899218434,2017-07-07 16:22:55,Twitter for iPhone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck ,13.0,10,Grizzwald,22986,3825,chow,https://t.co/rf661IFEYP,floofer
883117836046086144,2017-07-07 00:17:54,Twitter for iPhone,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat ",13.0,10,,37914,6949,golden retriever,https://t.co/Se5fZ9wp5E,
882992080364220416,2017-07-06 15:58:11,Twitter for iPhone,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy ,13.0,10,Rusty,24445,4122,Eskimo dog,https://t.co/tyER0KpdXj,
882762694511734784,2017-07-06 00:46:41,Twitter for iPhone,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl ,12.0,10,Gus,28903,5134,Labrador retriever,https://t.co/D43I96SlVu,pupper
882627270321602560,2017-07-05 15:48:34,Twitter for iPhone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) ,13.0,10,Stanley,28382,6342,Pembroke,https://t.co/Nx52PGwH94,
882268110199369728,2017-07-04 16:01:23,Twitter for iPhone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 ,13.0,10,Alfy,45880,12118,golden retriever,https://t.co/fYP5RlutfA,
882045870035918850,2017-07-04 01:18:17,Twitter for iPhone,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko ",13.0,10,Koko,29900,5203,golden retriever,https://t.co/zeDpnsKX7w,
881906580714921986,2017-07-03 16:04:48,Twitter for iPhone,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable ,12.0,10,Rey,24773,3533,Weimaraner,https://t.co/503CgWbhxQ,
881666595344535552,2017-07-03 00:11:11,Twitter for iPhone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely ,13.0,10,Gary,51522,11099,Saluki,https://t.co/7CSWCl8I6s,
881536004380872706,2017-07-02 15:32:16,Twitter for iPhone,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) ",14.0,10,,50199,16570,Samoyed,https://t.co/ghXBIIeQZF,pupper
